longitude,latitude
-69.9829102,41.3273263
-66.3354492,36.2974182
-49.7900391,42.3585439
-53.1958008,46.5739668
-59.1943359,47.5468716
-68.4667969,44.6998977
-71.5649414,43.4688676
-70.0048828,41.3108239
